pickup_date,entity_mapping,commodity,vehicle_type,pickup_city,destination_city,effective_dest,effective_lane,load_type,distance,weight,total_carrier_price,cpk,cost_per_km,days_ago,lane,pickup_province,dest_province,is_core,domestic_price,domestic_method,total_shipper_price,container,true_drop_off,gb
2024-03-12 17:00:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,رابغ,جدة → رابغ,Trip,370.086,25.0,775.0,2.094107856011846,2.094107856011846,867,جدة → جدة,Makkah Province,Makkah Province,True,1609.1255348012105,Domestic_all_time,1250.0,1,Rabigh,1250.0
2023-09-19 23:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,185.398,23.0,700.0,3.7756610103668864,3.7756610103668864,1041,جدة → جدة,Makkah Province,Makkah Province,True,325.172888812561,Global_CPK,1050.0,1,Jeddah,1080.0
2024-09-05 23:30:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,تبوك,الدمام → تبوك,Trip,3541.795,25.0,6500.0,1.835227617634561,1.835227617634561,689,الدمام → الدمام,Eastern Province,Eastern Province,True,7067.766518019071,Domestic_all_time,7000.0,1,Tabuk,7750.0
2024-09-05 23:30:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,تبوك,الدمام → تبوك,Trip,3541.795,25.0,6500.0,1.835227617634561,1.835227617634561,689,الدمام → الدمام,Eastern Province,Eastern Province,True,7067.766518019071,Domestic_all_time,7000.0,1,Tabuk,9250.0
2024-04-01 21:00:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,72.636,25.0,725.0,9.981276502010024,9.981276502010024,846,جدة → جدة,Makkah Province,Makkah Province,True,127.3975876319549,Global_CPK,1100.0,1,Jeddah,1100.0
2024-08-29 23:30:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,تبوك,الدمام → تبوك,Trip,3541.793,25.0,6500.0,1.8352286539614258,1.8352286539614258,696,الدمام → الدمام,Eastern Province,Eastern Province,True,7067.7625269543605,Domestic_all_time,7000.0,1,Tabuk,8500.0
2024-04-03 22:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,161.609,28.0,750.0,4.640830646808037,4.640830646808037,844,جدة → جدة,Makkah Province,Makkah Province,True,283.4489335813179,Global_CPK,1150.0,1,Jeddah,1150.0
2023-05-08 23:00:00,Ports,سلع إستهلاكية,تريلا فرش,رابغ,رابغ,ينبع,رابغ → ينبع,Trip,378.656,0.0,1100.0,2.905011408772078,2.905011408772078,1175,رابغ → رابغ,Makkah Province,Makkah Province,False,1535.4802083152306,Domestic_all_time,1625.0,1,Yanbu,1625.0
2024-09-19 23:30:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,الرياض,جدة → الرياض,Trip,1957.713,27.0,3000.0,1.5324003058671012,1.5324003058671012,675,جدة → جدة,Makkah Province,Makkah Province,True,3514.403606366263,Domestic_recency,3600.0,1,Riyadh,3600.0
2024-05-09 23:30:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,تبوك,الدمام → تبوك,Trip,3541.757,25.0,6500.0,1.8352473080451313,1.8352473080451313,808,الدمام → الدمام,Eastern Province,Eastern Province,True,7067.690687789573,Domestic_all_time,7000.0,1,Tabuk,7000.0
2023-12-14 22:30:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,73.969,0.0,700.0,9.463423866754992,9.463423866754992,955,جدة → جدة,Makkah Province,Makkah Province,True,129.7355603219901,Global_CPK,2700.0,1,Jeddah,3025.0
2024-03-17 20:00:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,60.978,25.0,260.0,4.263832857751976,4.263832857751976,861,جدة → جدة,Makkah Province,Makkah Province,True,106.95041162262993,Global_CPK,350.0,1,Jeddah,380.0
2023-10-26 23:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,185.218,0.0,735.0,3.9682968178038855,3.9682968178038855,1004,جدة → جدة,Makkah Province,Makkah Province,True,324.85718357309634,Global_CPK,1050.0,1,Jeddah,1050.0
2023-11-27 22:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,185.398,28.0,735.0,3.964444060885231,3.964444060885231,972,جدة → جدة,Makkah Province,Makkah Province,True,325.172888812561,Global_CPK,1050.0,1,Jeddah,1050.0
2023-06-15 21:00:00,Ports,كيماوي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,188.272,25.0,700.0,3.7180249851279004,3.7180249851279004,1137,جدة → جدة,Makkah Province,Makkah Province,True,330.21364913601263,Global_CPK,1050.0,1,Jeddah,1050.0
2023-06-13 21:00:00,Ports,كيماوي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,188.272,25.0,700.0,3.7180249851279004,3.7180249851279004,1139,جدة → جدة,Makkah Province,Makkah Province,True,330.21364913601263,Global_CPK,1050.0,1,Jeddah,1050.0
2023-07-22 13:00:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,الرياض,الدمام → الرياض,Trip,865.235,23.0,1250.0,1.4446942160222367,1.4446942160222367,1101,الدمام → الدمام,Eastern Province,Eastern Province,False,2304.1373633689614,Domestic_all_time,1500.0,1,Riyadh,1500.0
2024-03-01 22:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,188.151,25.0,735.0,3.9064368512524514,3.9064368512524514,877,جدة → جدة,Makkah Province,Makkah Province,True,330.0014250583726,Global_CPK,1150.0,1,Jeddah,1180.0
2024-05-10 23:30:00,Ports,بلاستيك,تريلا فرش,الدمام,الدمام,تبوك,الدمام → تبوك,Trip,3609.866,25.0,6500.0,1.8006208540704836,1.8006208540704836,807,الدمام → الدمام,Eastern Province,Eastern Province,True,7203.604400970533,Domestic_all_time,7000.0,1,Tabuk,7000.0
2024-03-15 22:30:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,الْأَحْسَاء,جدة → الْأَحْسَاء,Trip,2580.21,25.0,5400.0,2.092852907321497,2.092852907321497,863,جدة → جدة,Makkah Province,Makkah Province,False,5276.8665584541395,Domestic_all_time,6000.0,1,Al-Ahsa,6000.0
2024-03-13 21:00:00,Ports,بلاستيك,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,72.636,25.0,750.0,10.325458450355196,10.325458450355196,865,جدة → جدة,Makkah Province,Makkah Province,True,127.3975876319549,Global_CPK,1100.0,1,Jeddah,1100.0
2024-02-15 22:30:00,Ports,سلع إستهلاكية,تريلا فرش,جدة,جدة,ينبع,جدة → ينبع,Trip,716.889,20.0,1350.0,1.8831367199106137,1.8831367199106137,892,جدة → جدة,Makkah Province,Makkah Province,True,1457.6882521589848,Domestic_all_time,1850.0,1,Yanbu,1850.0
2024-05-08 17:00:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,181.836,25.0,800.0,4.3995688422534585,4.3995688422534585,810,جدة → جدة,Makkah Province,Makkah Province,True,318.92543290715565,Global_CPK,1350.0,1,Jeddah,1350.0
2024-05-12 23:30:00,Ports,زجاج ليفي,تريلا فرش,جدة,جدة,جدة,جدة → جدة,Trip,181.836,25.0,800.0,4.3995688422534585,4.3995688422534585,805,جدة → جدة,Makkah Province,Makkah Province,True,318.92543290715565,Global_CPK,1000.0,1,Jeddah,1000.0
2024-07-17 21:00:00,Ports,سلع إستهلاكية,تريلا فرش,جدة,جدة,ينبع,جدة → ينبع,Trip,716.889,0.0,1450.0,2.0226283287928815,2.0226283287928815,739,جدة → جدة,Makkah Province,Makkah Province,True,1457.6882521589848,Domestic_all_time,1850.0,1,Yanbu,1850.0
