variant,canonical,region,province,latitude,longitude,is_province_correct,candidate_region,found_province_shape
Al-Qatif,Al Qatif,Eastern,Eastern Province,26.56397254,50.00477781,True,Eastern,Eastern Province
Qatif,Al Qatif,Eastern,Eastern Province,26.56397254,50.00477781,True,Eastern,Eastern Province
القطيف,Al Qatif,Eastern,Eastern Province,26.56397254,50.00477781,True,Eastern,Eastern Province
Abha,Abha,Southern,Asir Province,18.23082019,42.52730285,True,Southern,Asir Province
ابها,Abha,Southern,Asir Province,18.23082019,42.52730285,True,Southern,Asir Province
أبها,Abha,Southern,Asir Province,18.23082019,42.52730285,True,Southern,Asir Province
Hofuf,Hofuf,Eastern,Eastern Province,25.380026,49.5887652,True,Eastern,Eastern Province
هفوف,Hofuf,Eastern,Eastern Province,25.380026,49.5887652,True,Eastern,Eastern Province
Umluj,Umluj,Western,Tabuk Province,25.0211468,37.27084591,True,Northern,Tabuk Province
Umloj,Umluj,Western,Tabuk Province,25.0211468,37.27084591,True,Northern,Tabuk Province
أملج,Umluj,Western,Tabuk Province,25.0211468,37.27084591,True,Northern,Tabuk Province
Thuwwal,Thuwwal,Western,Makkah Province,22.2756562,39.1132757,True,Western,Makkah Province
Thuwal,Thuwwal,Western,Makkah Province,22.2756562,39.1132757,True,Western,Makkah Province
ثول,Thuwwal,Western,Makkah Province,22.2756562,39.1132757,True,Western,Makkah Province
Al Majma'ah,Al Majma'ah,Central,Riyadh Province,25.81525939,45.47264762,True,Central,Riyadh Province
Al Majmaah,Al Majma'ah,Central,Riyadh Province,25.81525939,45.47264762,True,Central,Riyadh Province
Majmaah,Al Majma'ah,Central,Riyadh Province,25.81525939,45.47264762,True,Central,Riyadh Province
المجمعة,Al Majma'ah,Central,Riyadh Province,25.81525939,45.47264762,True,Central,Riyadh Province
Khamis Mushait,Khamis Mushait,Southern,Asir Province,18.29292269,42.73770551,True,Southern,Asir Province
Khamis Mushayt,Khamis Mushait,Southern,Asir Province,18.29292269,42.73770551,True,Southern,Asir Province
Khamis,Khamis Mushait,Southern,Asir Province,18.29292269,42.73770551,True,Southern,Asir Province
خميس مشيط,Khamis Mushait,Southern,Asir Province,18.29292269,42.73770551,True,Southern,Asir Province
Al-Khobar,Al-Khobar,Eastern,Eastern Province,26.25433416,50.18747305,True,Eastern,Eastern Province
Al Khobar,Al-Khobar,Eastern,Eastern Province,26.25433416,50.18747305,True,Eastern,Eastern Province
Khobar,Al-Khobar,Eastern,Eastern Province,26.25433416,50.18747305,True,Eastern,Eastern Province
الخبر,Al-Khobar,Eastern,Eastern Province,26.25433416,50.18747305,True,Eastern,Eastern Province
Buraidah,Buraidah,Northern,Qassim Province,26.33474892,43.96676675,True,Northern,Qassim Province
Buraydah,Buraidah,Northern,Qassim Province,26.33474892,43.96676675,True,Northern,Qassim Province
بريدة,Buraidah,Northern,Qassim Province,26.33474892,43.96676675,True,Northern,Qassim Province
Haradh,Haradh,Central,Eastern Province,24.1353686,49.0817124,True,Eastern,Eastern Province
Harad,Haradh,Central,Eastern Province,24.1353686,49.0817124,True,Eastern,Eastern Province
حرض,Haradh,Central,Eastern Province,24.1353686,49.0817124,True,Eastern,Eastern Province
AMAALA,AMAALA,Western,Tabuk Province,26.6478803,36.2244491,True,Northern,Tabuk Province
Amaala,AMAALA,Western,Tabuk Province,26.6478803,36.2244491,True,Northern,Tabuk Province
أمالا,AMAALA,Western,Tabuk Province,26.6478803,36.2244491,True,Northern,Tabuk Province
Beljurashi,Beljurashi,Southern,Al Bahah Province,19.8648875,41.5812154,True,Southern,Al Bahah Province
Baljurashi,Beljurashi,Southern,Al Bahah Province,19.8648875,41.5812154,True,Southern,Al Bahah Province
بلجرشي,Beljurashi,Southern,Al Bahah Province,19.8648875,41.5812154,True,Southern,Al Bahah Province
Khafji,Khafji,Eastern,Eastern Province,28.4318707,48.48383824,True,Eastern,Eastern Province
Al Khafji,Khafji,Eastern,Eastern Province,28.4318707,48.48383824,True,Eastern,Eastern Province
الخفجي,Khafji,Eastern,Eastern Province,28.4318707,48.48383824,True,Eastern,Eastern Province
Al Lith,Al Lith,Western,Makkah Province,20.34967385,40.23824758,True,Western,Makkah Province
Al-Lith,Al Lith,Western,Makkah Province,20.34967385,40.23824758,True,Western,Makkah Province
Lith,Al Lith,Western,Makkah Province,20.34967385,40.23824758,True,Western,Makkah Province
الليث,Al Lith,Western,Makkah Province,20.34967385,40.23824758,True,Western,Makkah Province
Dumah Al Jandal,Dumah Al Jandal,Northern,Al Jouf Province,29.80771303,39.85764055,True,Northern,Al Jouf Province
Dumat Al Jandal,Dumah Al Jandal,Northern,Al Jouf Province,29.80771303,39.85764055,True,Northern,Al Jouf Province
دومة الجندل,Dumah Al Jandal,Northern,Al Jouf Province,29.80771303,39.85764055,True,Northern,Al Jouf Province
Nairyah,Nairyah,Eastern,Eastern Province,27.47253413,48.49228468,True,Eastern,Eastern Province
Nariyah,Nairyah,Eastern,Eastern Province,27.47253413,48.49228468,True,Eastern,Eastern Province
نعيرية,Nairyah,Eastern,Eastern Province,27.47253413,48.49228468,True,Eastern,Eastern Province
Wadi Aldawaser,Wadi Aldawaser,Central,Riyadh Province,20.68354739,44.76058224,True,Central,Riyadh Province
Wadi Ad dawaser,Wadi Aldawaser,Central,Riyadh Province,20.68354739,44.76058224,True,Central,Riyadh Province
Wadi Dawaser,Wadi Aldawaser,Central,Riyadh Province,20.68354739,44.76058224,True,Central,Riyadh Province
وادي الدواسر,Wadi Aldawaser,Central,Riyadh Province,20.68354739,44.76058224,True,Central,Riyadh Province
Duwadmi,Duwadmi,Central,Riyadh Province,24.45869519,44.49837487,True,Central,Riyadh Province
Dawadmi,Duwadmi,Central,Riyadh Province,24.45869519,44.49837487,True,Central,Riyadh Province
الدوادمي,Duwadmi,Central,Riyadh Province,24.45869519,44.49837487,True,Central,Riyadh Province
Tanajib,Tanajib,Eastern,Eastern Province,29.3671915,47.9670891,False,Outside,Outside
تناجيب,Tanajib,Eastern,Eastern Province,29.3671915,47.9670891,False,Outside,Outside
Buqaiq,Buqaiq,Eastern,Eastern Province,25.92649382,49.63457879,True,Eastern,Eastern Province
Abqaiq,Buqaiq,Eastern,Eastern Province,25.92649382,49.63457879,True,Eastern,Eastern Province
بقيق,Buqaiq,Eastern,Eastern Province,25.92649382,49.63457879,True,Eastern,Eastern Province
Sharma,Sharma,Northern,Tabuk Province,28.0313,35.2383,True,Northern,Tabuk Province
شرما,Sharma,Northern,Tabuk Province,28.0313,35.2383,True,Northern,Tabuk Province
Haql,Haql,Northern,Tabuk Province,29.27627626,34.94321927,False,Northern,Al Jouf Province
حقل,Haql,Northern,Tabuk Province,29.27627626,34.94321927,False,Northern,Al Jouf Province
Ranyah,Ranyah,Western,Makkah Province,21.24765689,42.84258928,True,Western,Makkah Province
رنية,Ranyah,Western,Makkah Province,21.24765689,42.84258928,True,Western,Makkah Province
Al-Jumum,Al-Jumum,Western,Makkah Province,21.61306917,39.69057542,True,Western,Makkah Province
Al Jumum,Al-Jumum,Western,Makkah Province,21.61306917,39.69057542,True,Western,Makkah Province
